iter	Passed	Remaining
0	0	78
1	1	74
2	2	70
3	2	66
4	3	66
5	4	64
6	4	62
7	5	61
8	6	61
9	6	61
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	55
16	11	55
17	11	54
18	12	53
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	16	48
25	16	47
26	17	46
27	18	46
28	18	45
29	19	44
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	7
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	62	0
99	63	0
